mass,z
10.67562,0.096449
11.22782,0.127872
11.54917,0.196461
10.67319,0.095232
11.28583,0.144144
11.10708,0.144041
10.754589,0.066632
11.053391,0.119541
11.00635,0.084141
11.02281,0.143343
10.935659,0.065966
11.236428,0.138029
11.65151,0.177252
11.29234,0.133751
10.87431,0.095859
11.25638,0.093334
10.80353,0.079389
11.33157,0.160228
11.21707,0.145125
11.27328,0.176066
11.685141,0.175855
11.34018,0.154135
11.383221,0.155556
11.097429,0.131
10.64077,0.06437
10.61749,0.074509
10.96339,0.047036
10.87133,0.066359
11.23638,0.067983
11.26708,0.153686
10.73173,0.089368
10.716459,0.066148
10.625841,0.0773
11.40592,0.130558
11.17199,0.13096
11.25162,0.111868
11.26204,0.112567
11.31676,0.130679
11.2399,0.066211
11.122941,0.0778
10.86787,0.067954
11.306629,0.112634
11.074499,0.147418
11.036889,0.100461
10.992649,0.09635
10.9539,0.066845
10.727941,0.099843
11.30505,0.046769
11.13579,0.096817
10.803821,0.097387
11.2043,0.143926
10.72033,0.088368
11.41218,0.124181
10.70986,0.066906
10.990689,0.061297
11.381961,0.109889
11.334579,0.148064
11.08168,0.147774
11.40434,0.160973
11.50068,0.193395
11.1161,0.095331
10.7788,0.095964
10.89769,0.063834
10.75817,0.064882
10.92025,0.095682
11.12445,0.073081
11.05429,0.107399
11.33682,0.155887
11.35059,0.05195
10.811221,0.077816
10.75046,0.08827
11.28074,0.138193
11.158921,0.119518
11.486479,0.176082
11.56491,0.076002
11.071,0.124554
10.99104,0.081957
11.34695,0.178433
10.62635,0.096967
10.959649,0.046694
11.282029,0.110291
11.321561,0.155554
11.2358,0.10953
10.974159,0.046829
11.3497,0.052504
11.35493,0.178521
11.028521,0.046904
10.979719,0.071723
11.253221,0.078818
11.33574,0.173269
11.13466,0.04888
10.60472,0.091378
10.84219,0.093854
11.621371,0.196903
10.71593,0.084451
11.739249,0.195617
10.748489,0.083935
11.41024,0.093904
11.24004,0.136092
10.50554,0.083235
10.55486,0.083589
11.4437,0.065357
10.73926,0.083345
11.366549,0.172024
11.25919,0.135466
11.439179,0.185775
10.8327,0.09711
10.79028,0.098744
11.55101,0.067534
11.26121,0.057047
10.59879,0.067822
10.87827,0.084618
10.52093,0.093472
10.54048,0.069053
11.221251,0.110156
11.08274,0.106939
11.184,0.14208
11.109361,0.141515
10.63702,0.046215
11.3499,0.178004
10.886009,0.081971
11.054729,0.057716
11.11254,0.146173
11.25144,0.046811
11.453361,0.071611
10.5716,0.052673
10.50676,0.046988
10.60966,0.08389
11.12353,0.143939
11.22233,0.144245
10.89105,0.070954
11.23888,0.136303
11.542629,0.175053
11.4293,0.082626
10.906149,0.039719
10.623541,0.060497
10.579419,0.031617
11.17895,0.118538
10.628661,0.028752
10.959929,0.079371
11.027881,0.100133
11.31503,0.142964
11.470069,0.077817
11.49882,0.171394
10.665421,0.078162
10.7961,0.073082
10.966629,0.077923
11.302361,0.111985
10.537089,0.071551
11.128731,0.143543
11.08434,0.109827
10.50302,0.062849
11.32283,0.145041
10.57278,0.073869
10.948669,0.073982
11.01556,0.138337
10.86477,0.076258
11.66747,0.186183
11.329941,0.13253
10.598081,0.094228
11.575769,0.180011
11.05527,0.076831
11.01931,0.126321
10.6351,0.047445
11.21914,0.12728
11.59843,0.179408
10.51793,0.047637
11.6745,0.178245
11.386729,0.165285
11.52052,0.183503
11.268371,0.167958
11.27527,0.155634
11.232649,0.139334
11.05608,0.096379
11.162001,0.071033
10.650701,0.089086
11.19805,0.139685
10.80757,0.094791
10.647981,0.038941
11.49101,0.096403
11.55219,0.156128
10.64472,0.097238
11.598941,0.186097
11.536408,0.167765
10.53335,0.095171
10.55911,0.071436
11.38197,0.113052
10.58089,0.090196
11.444539,0.187873
11.287069,0.078921
11.46568,0.170607
10.914189,0.070656
11.59833,0.187808
10.736629,0.081478
11.31044,0.134055
11.35746,0.185174
10.88341,0.088473
11.2104,0.13234
11.23122,0.132329
11.40178,0.173955
10.89702,0.099184
11.546679,0.100056
11.40932,0.127982
11.05508,0.119658
11.036539,0.141977
11.55923,0.1847
11.32615,0.160755
10.778419,0.097191
10.691841,0.098822
11.117301,0.138623
11.19346,0.12993
11.150341,0.134846
11.01347,0.131651
10.58433,0.080469
11.36674,0.173713
11.3915,0.181429
11.13508,0.141675
11.137321,0.131006
11.00095,0.130937
11.114861,0.0738
11.02954,0.126934
11.044,0.10231
10.615061,0.030137
10.59429,0.091106
11.00525,0.107915
11.210529,0.120665
11.416129,0.177286
11.18933,0.120436
10.7666,0.051115
11.286709,0.176249
11.0148,0.093297
11.344029,0.18027
11.17083,0.124402
11.0924,0.120616
11.22789,0.097529
11.263881,0.127152
10.85977,0.046208
10.58301,0.072762
11.20184,0.074126
11.491981,0.077477
11.22774,0.065094
11.35773,0.113378
10.946508,0.079614
11.058801,0.078655
11.43891,0.077366
10.96292,0.078617
10.85648,0.096743
10.772399,0.030816
10.520161,0.077601
10.579479,0.069981
11.00569,0.051674
11.05752,0.128689
11.00632,0.116887
11.122231,0.078968
11.30081,0.137037
11.18385,0.080503
11.01065,0.116533
